,Month,region_type,Hour,GHI,Temperature,Pressure,Dew Point,Relative Humidity,Wind Speed
44,1,north,20,0.0,12.636129032258061,768.4064516129032,13.51354838709677,95.25516129032255,0.6135483870967744
45,1,north,21,0.0,12.260000000000002,768.4129032258064,13.227741935483872,96.03593548387097,0.6212903225806454
46,1,north,22,0.0,11.938064516129034,768.4064516129032,13.009032258064519,96.43799999999999,0.6219354838709676
47,1,north,23,0.0,11.590322580645163,768.3290322580646,12.732258064516131,96.59754838709681,0.6245161290322583
48,2,city,0,0.0,12.549285714285716,777.8571428571429,13.120714285714287,97.0465,0.7435714285714288
49,2,city,1,0.0,12.306428571428572,777.8,12.827857142857143,96.9899285714286,0.742142857142857
50,2,city,2,0.0,12.116428571428575,777.7642857142857,12.65214285714286,97.17564285714289,0.7492857142857139
51,2,city,3,0.0,11.93142857142857,777.7928571428571,12.438571428571427,97.43742857142853,0.7507142857142857
52,2,city,4,0.0,11.787142857142856,777.8857142857142,12.222857142857142,97.36171428571429,0.7499999999999999
53,2,city,5,0.0,11.829285714285712,778.0142857142857,12.18642857142857,96.67014285714286,0.8507142857142861
54,2,city,6,28.978571428571428,13.200000000000003,778.1285714285714,12.683571428571433,91.80407142857143,1.3114285714285714
55,2,city,7,208.10714285714286,15.118571428571428,778.2142857142857,13.027857142857142,82.82635714285713,1.7700000000000007
56,2,city,8,407.73571428571427,17.038571428571423,778.2714285714286,12.819285714285716,72.64185714285718,1.7964285714285717
57,2,city,9,593.7857142857143,18.520714285714277,778.2428571428571,12.61357142857143,65.55542857142856,1.6342857142857148
58,2,city,10,721.4928571428571,19.61214285714286,778.1428571428571,12.686428571428571,61.54199999999998,1.521428571428572
59,2,city,11,682.85,20.47142857142858,777.9714285714285,12.809285714285714,59.09878571428571,1.5000000000000004
60,2,city,12,623.8642857142858,20.842142857142854,777.8,12.934999999999997,58.32907142857146,1.5099999999999991
61,2,city,13,578.7857142857143,20.48071428571429,777.6857142857143,13.042857142857143,59.72271428571429,1.4842857142857144
62,2,city,14,503.34285714285716,19.767142857142854,777.5928571428572,13.07642857142857,62.81185714285714,1.4114285714285715
63,2,city,15,352.95,18.77642857142856,777.5928571428572,13.097857142857139,67.08814285714284,1.2678571428571426
64,2,city,16,219.17142857142858,17.52642857142857,777.6714285714286,13.46714285714286,73.78285714285714,0.998571428571428
65,2,city,17,71.45714285714286,15.916428571428574,777.7928571428571,14.364285714285714,85.97207142857148,0.7671428571428576
66,2,city,18,0.0,15.007857142857146,777.8357142857143,14.527857142857142,91.97421428571428,0.7578571428571428
67,2,city,19,0.0,14.394285714285713,778.0214285714286,14.315714285714284,94.06628571428568,0.8285714285714288
68,2,city,20,0.0,13.889285714285718,778.1,14.11071428571429,95.31092857142855,0.8492857142857145
69,2,city,21,0.0,13.515714285714282,778.1,13.872857142857137,95.90742857142857,0.8357142857142854
70,2,city,22,0.0,13.23,778.0642857142857,13.601428571428572,96.39007142857142,0.8021428571428573
71,2,city,23,0.0,12.916428571428572,777.9857142857143,13.337857142857143,96.81071428571424,0.7642857142857146
72,2,north,0,0.0,11.864285714285716,768.2357142857143,12.87857142857143,96.48928571428573,0.63
73,2,north,1,0.0,11.571428571428573,768.1571428571428,12.62857142857143,96.5049285714286,0.6242857142857144
74,2,north,2,0.0,11.346428571428572,768.1357142857142,12.439285714285715,96.56464285714287,0.6314285714285713
75,2,north,3,0.0,11.167857142857144,768.15,12.210714285714287,96.67221428571432,0.6292857142857143
76,2,north,4,0.0,10.997142857142855,768.25,12.039999999999997,96.78157142857143,0.6271428571428571
77,2,north,5,0.0,11.044999999999998,768.3714285714286,11.973571428571427,96.00150000000004,0.7264285714285711
78,2,north,6,27.914285714285715,12.410714285714286,768.4857142857143,12.462857142857143,90.95557142857145,1.117142857142857
79,2,north,7,202.38571428571427,14.362857142857141,768.5714285714286,12.819285714285712,82.4328571428571,1.4657142857142855
80,2,north,8,424.73571428571427,16.336428571428574,768.6428571428571,12.627857142857145,72.04507142857143,1.4357142857142857
81,2,north,9,601.5785714285714,17.824285714285708,768.6071428571429,12.426428571428572,64.8184285714286,1.299285714285714
82,2,north,10,705.1142857142858,18.967857142857138,768.5,12.44071428571429,60.67464285714285,1.2857142857142856
83,2,north,11,696.7428571428571,19.863571428571436,768.35,12.557142857142857,58.18007142857141,1.387142857142857
84,2,north,12,685.4,20.137142857142862,768.0928571428572,12.688571428571429,57.429,1.494285714285714
85,2,north,13,626.7142857142857,19.83571428571429,767.75,12.801428571428572,58.87742857142856,1.5371428571428574
86,2,north,14,546.5142857142857,19.107857142857128,767.5142857142857,12.85857142857143,61.91100000000002,1.506428571428572
87,2,north,15,392.85714285714283,18.11428571428571,767.5928571428572,12.951428571428568,66.11835714285716,1.3899999999999995
88,2,north,16,230.22857142857143,16.856428571428577,767.7428571428571,13.18357142857143,72.74492857142855,1.0821428571428573
89,2,north,17,77.93571428571428,15.220714285714287,768.0857142857143,14.156428571428567,85.00807142857145,0.7371428571428571
90,2,north,18,0.0,14.279285714285711,768.2142857142857,14.328571428571426,91.20657142857142,0.6478571428571427
91,2,north,19,0.0,13.617857142857144,768.3785714285714,14.132142857142858,93.26121428571427,0.6699999999999997
92,2,north,20,0.0,13.207857142857144,768.45,13.900714285714287,94.50650000000002,0.674285714285714
93,2,north,21,0.0,12.773571428571433,768.4785714285714,13.587857142857148,95.23928571428571,0.6685714285714285
94,2,north,22,0.0,12.474285714285715,768.4357142857143,13.352857142857143,95.70578571428575,0.6542857142857141
95,2,north,23,0.0,12.15357142857143,768.3357142857143,13.146428571428572,95.96335714285715,0.6378571428571426
96,3,city,0,0.0,13.054193548387099,777.8451612903226,13.783225806451616,98.1781290322581,0.6896774193548387
97,3,city,1,0.0,12.790322580645158,777.7483870967742,13.570967741935481,98.33103225806452,0.6812903225806456
98,3,city,2,0.0,12.589032258064515,777.7354838709678,13.337419354838705,98.31645161290325,0.6890322580645162
99,3,city,3,0.0,12.396129032258063,777.741935483871,13.157419354838709,98.11354838709677,0.6967741935483872
100,3,city,4,0.0,12.220645161290323,777.8,12.949677419354838,97.78464516129033,0.6987096774193547
101,3,city,5,0.0,12.28193548387097,777.9225806451612,12.88193548387097,96.94722580645163,0.789677419354839
102,3,city,6,42.42580645161291,13.482580645161292,778.0129032258064,13.384516129032258,93.43716129032255,1.169677419354839
103,3,city,7,212.2,15.24387096774193,778.1483870967742,13.717419354838702,85.80335483870971,1.530322580645161
104,3,city,8,401.9548387096774,16.987096774193557,778.1935483870968,13.561935483870966,76.75735483870972,1.5206451612903231
105,3,city,9,565.8387096774194,18.360645161290325,778.1935483870968,13.416129032258064,69.60096774193546,1.3729032258064513
106,3,city,10,656.8322580645162,19.36064516129032,778.0709677419355,13.41935483870968,65.45625806451612,1.283225806451613
107,3,city,11,639.0129032258064,20.115483870967743,777.9354838709677,13.529677419354835,63.05554838709683,1.2761290322580645
108,3,city,12,578.5419354838709,20.395483870967745,777.7806451612903,13.654838709677417,62.69696774193545,1.3180645161290319
109,3,city,13,537.0322580645161,20.059354838709687,777.6322580645161,13.749677419354837,64.48387096774196,1.3393548387096768
110,3,city,14,449.5290322580645,19.349032258064515,777.5483870967741,13.845806451612896,67.63858064516127,1.3012903225806447
111,3,city,15,313.85806451612905,18.421290322580646,777.5354838709677,13.975483870967741,72.09729032258063,1.1703225806451611
112,3,city,16,191.4,17.272258064516127,777.5935483870968,14.329677419354837,78.9027741935484,0.8993548387096778
113,3,city,17,61.619354838709675,15.863870967741939,777.7161290322581,15.061935483870974,89.97787096774196,0.6470967741935483
114,3,city,18,0.0,15.178064516129034,777.7548387096774,15.244516129032261,94.46909677419356,0.6096774193548383
115,3,city,19,0.0,14.65612903225807,777.9225806451612,15.067741935483873,96.425935483871,0.6896774193548388
116,3,city,20,0.0,14.254193548387091,778.0193548387097,14.828387096774188,97.38883870967739,0.7258064516129031
117,3,city,21,0.0,13.881290322580648,778.0516129032258,14.578064516129034,97.82025806451615,0.7380645161290321
118,3,city,22,0.0,13.564516129032254,778.0258064516129,14.331612903225803,98.03741935483873,0.7309677419354835
119,3,city,23,0.0,13.25935483870968,777.941935483871,14.06580645161291,98.3158709677419,0.7109677419354836
120,3,north,0,0.0,12.306451612903226,768.2,13.583870967741932,97.69309677419356,0.554193548387097
121,3,north,1,0.0,12.065806451612906,768.1096774193549,13.298064516129031,97.62135483870968,0.5503225806451614
122,3,north,2,0.0,11.87161290322581,768.0774193548388,13.065161290322584,97.60380645161291,0.5722580645161292
123,3,north,3,0.0,11.658709677419358,768.0451612903225,12.91677419354839,97.46251612903228,0.575483870967742
124,3,north,4,0.0,11.449032258064513,768.1677419354838,12.694193548387092,97.0788387096774,0.5741935483870967
125,3,north,5,0.0,11.52,768.2967741935483,12.636129032258063,96.18451612903232,0.6535483870967739
126,3,north,6,39.78064516129032,12.735483870967744,768.3870967741935,13.17677419354839,92.69458064516128,0.9703225806451612
127,3,north,7,218.41290322580645,14.517419354838703,768.4903225806452,13.550967741935482,85.2535483870968,1.2516129032258063
128,3,north,8,405.50967741935483,16.249032258064517,768.5548387096774,13.408387096774188,76.35187096774196,1.2438709677419353
129,3,north,9,583.2838709677419,17.613548387096774,768.5290322580645,13.143870967741936,68.81761290322581,1.174838709677419
130,3,north,10,643.3806451612903,18.679999999999996,768.4580645161291,13.163870967741934,64.5156129032258,1.2103225806451614
